\#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
61 4.384846 0.6094725 1.97674 0.1981984 23.3358 213.21 354.1972 0.6372684 1.979924 0.1783606 23.3358 213.21 354.1972 0.5816765 1.973556 0.2180362 23.3358 213.21 354.1972 0 0 0 0 0 0 0 0
62 4.440181 0.6093558 1.976653 0.2006698 22.87336 212.0932 354.054 0.6375217 1.979927 0.1813759 22.87336 212.0932 354.054 0.5811899 1.97338 0.2199637 22.87336 212.0932 354.054 0 0 0 0 0 0 0 0
63 4.529648 0.6070383 1.97977 0.203756 21.60029 214.4876 355.0963 0.634593 1.982495 0.1835175 21.60029 214.4876 355.0963 0.5794835 1.977044 0.2239945 21.60029 214.4876 355.0963 0 0 0 0 0 0 0 0
64 4.587571 0.5999355 1.986358 0.2093815 18.40195 221.1049 357.0503 0.6253781 1.988032 0.1864433 18.40195 221.1049 357.0503 0.5744929 1.984683 0.2323197 18.40195 221.1049 357.0503 0 0 0 0 0 0 0 0
65 4.667283 0.5978473 1.986076 0.219758 20.09928 228.3012 357.7118 0.6202927 1.987362 0.1938574 20.09928 228.3012 357.7118 0.575402 1.98479 0.2456586 20.09928 228.3012 357.7118 0 0 0 0 0 0 0 0
66 4.737056 0.5936309 1.991506 0.2337865 18.3512 241.3759 356.082 0.6093753 1.993731 0.203398 18.3512 241.3759 356.082 0.5778865 1.989282 0.2641749 18.3512 241.3759 356.082 0 0 0 0 0 0 0 0
67 4.815916 0.5937213 1.993066 0.2542978 18.00427 261.553 356.0415 0.5980234 1.995317 0.2203462 18.00427 261.553 356.0415 0.5894191 1.990814 0.2882494 18.00427 261.553 356.0415 0 0 0 0 0 0 0 0
68 4.881004 0.602371 1.993313 0.2745205 16.81041 285.7159 358.3023 0.5928022 1.994285 0.2415996 16.81041 285.7159 358.3023 0.6119397 1.99234 0.3074414 16.81041 285.7159 358.3023 0 0 0 0 0 0 0 0
69 4.961652 0.611757 1.99818 0.2827396 13.89206 295.9021 359.1156 0.5966623 1.998694 0.2519471 13.89206 295.9021 359.1156 0.6268517 1.997666 0.3135321 13.89206 295.9021 359.1156 0 0 0 0 0 0 0 0
70 5.010676 0.6185264 2.003285 0.2939325 11.7244 303.7543 0.6349033 0.5995352 2.002913 0.2653758 11.7244 303.7543 0.6349033 0.6375176 2.003658 0.3224892 11.7244 303.7543 0.6349033 0 0 0 0 0 0 0 0
71 5.087779 0.6282045 2.006398 0.3069646 10.04479 307.5454 0.6304326 0.6073576 2.006027 0.279733 10.04479 307.5454 0.6304326 0.6490513 2.00677 0.3341962 10.04479 307.5454 0.6304326 0 0 0 0 0 0 0 0
72 5.147527 0.6434371 2.00405 0.3203003 8.45881 311.696 0.8844435 0.6206843 2.003527 0.2946425 8.45881 311.696 0.8844435 0.6661899 2.004574 0.3459582 8.45881 311.696 0.8844435 0 0 0 0 0 0 0 0
73 5.2286 0.6493747 2.006462 0.3312781 7.714165 312.2081 2.113523 0.6264744 2.005208 0.3057772 7.714165 312.2081 2.113523 0.6722749 2.007715 0.3567791 7.714165 312.2081 2.113523 0 0 0 0 0 0 0 0
74 5.280962 0.661895 2.006875 0.3510023 5.425007 313.7487 2.140566 0.6382827 2.0056 0.3261603 5.425007 313.7487 2.140566 0.6855074 2.00815 0.3758443 5.425007 313.7487 2.140566 0 0 0 0 0 0 0 0
75 5.365232 0.6680531 2.005641 0.361472 2.630485 314.5728 3.52711 0.6440974 2.003534 0.3370185 2.630485 314.5728 3.52711 0.6920087 2.007749 0.3859255 2.630485 314.5728 3.52711 0 0 0 0 0 0 0 0
76 5.423607 0.6620628 2.007427 0.3593089 0.07479113 311.3515 4.322314 0.6394705 2.004842 0.333634 0.07479113 311.3515 4.322314 0.6846551 2.010012 0.3849837 0.07479113 311.3515 4.322314 0 0 0 0 0 0 0 0
77 5.507798 0.6556758 2.002261 0.3443635 4.125945 304.9153 5.630758 0.6363385 1.998905 0.3162371 4.125945 304.9153 5.630758 0.675013 2.005618 0.37249 4.125945 304.9153 5.630758 0 0 0 0 0 0 0 0
78 5.581166 0.631929 1.994091 0.2842198 7.312292 291.2213 5.662281 0.6199765 1.990734 0.2522485 7.312292 291.2213 5.662281 0.6438816 1.997447 0.316191 7.312292 291.2213 5.662281 0 0 0 0 0 0 0 0
79 5.663845 0.6115829 1.979131 0.2193026 16.57629 283.5737 6.402491 0.6046444 1.975465 0.1859153 16.57629 283.5737 6.402491 0.6185215 1.982796 0.2526899 16.57629 283.5737 6.402491 0 0 0 0 0 0 0 0
80 5.72204 0.595992 1.962897 0.1457176 28.52701 273.9377 2.631536 0.5943896 1.961513 0.1114859 28.52701 273.9377 2.631536 0.5975945 1.96428 0.1799493 28.52701 273.9377 2.631536 0 0 0 0 0 0 0 0
81 5.803147 0.594748 1.946962 0.08588316 37.191 264.056 3.996232 0.5997281 1.945058 0.05200302 37.191 264.056 3.996232 0.5897679 1.948866 0.1197633 37.191 264.056 3.996232 0 0 0 0 0 0 0 0
82 5.878413 0.5971342 1.929817 0.03856157 44.16133 253.3174 1.16289 0.6074423 1.929317 0.005854018 44.16133 253.3174 1.16289 0.586826 1.930316 0.07126912 44.16133 253.3174 1.16289 0 0 0 0 0 0 0 0
83 5.95596 0.5967073 1.916991 0.02008513 48.04179 251.4966 3.577301 0.6090797 1.91556 -0.01187056 48.04179 251.4966 3.577301 0.5843349 1.918422 0.05204083 48.04179 251.4966 3.577301 0 0 0 0 0 0 0 0
84 6.021369 0.5962964 1.906728 0.01860706 51.293 247.5067 3.697483 0.6109849 1.905345 -0.0123546 51.293 247.5067 3.697483 0.5816078 1.908111 0.04956872 51.293 247.5067 3.697483 0 0 0 0 0 0 0 0
85 6.098607 0.5905144 1.905488 0.01970569 51.85276 237.944 358.9771 0.6083065 1.905866 -0.009613043 51.85276 237.944 358.9771 0.5727223 1.905109 0.04902443 51.85276 237.944 358.9771 0 0 0 0 0 0 0 0
86 6.164999 0.5716242 1.908257 0.02992218 49.97057 232.697 358.7471 0.5919475 1.908739 0.00229937 49.97057 232.697 358.7471 0.5513008 1.907775 0.05754498 49.97057 232.697 358.7471 0 0 0 0 0 0 0 0
87 6.232255 0.5373346 1.911302 0.054888 47.6138 231.5649 0.05365875 0.5586731 1.911281 0.0280374 47.6138 231.5649 0.05365875 0.515996 1.911324 0.0817386 47.6138 231.5649 0.05365875 0 0 0 0 0 0 0 0
88 6.300292 0.4970407 1.916062 0.08403874 44.91456 232.6882 2.669259 0.5187043 1.914931 0.05747375 44.91456 232.6882 2.669259 0.4753771 1.917193 0.1106037 44.91456 232.6882 2.669259 0 0 0 0 0 0 0 0
89 6.381063 0.4433232 1.915853 0.123009 40.89407 235.1342 4.192726 0.4642238 1.913957 0.09588225 40.89407 235.1342 4.192726 0.4224226 1.917748 0.1501358 40.89407 235.1342 4.192726 0 0 0 0 0 0 0 0
90 6.443392 0.3915063 1.925056 0.1531777 40.47057 235.513 5.032806 0.4124608 1.922767 0.1261229 40.47057 235.513 5.032806 0.3705519 1.927344 0.1802325 40.47057 235.513 5.032806 0 0 0 0 0 0 0 0
91 6.508677 0.3619225 1.936644 0.1636365 37.38652 233.1979 5.118266 0.383874 1.934213 0.137397 37.38652 233.1979 5.118266 0.3399711 1.939075 0.1898761 37.38652 233.1979 5.118266 0 0 0 0 0 0 0 0
92 6.577981 0.3468425 1.93996 0.1598213 36.10848 230.8232 3.737516 0.3694838 1.938154 0.134123 36.10848 230.8232 3.737516 0.3242012 1.941767 0.1855196 36.10848 230.8232 3.737516 0 0 0 0 0 0 0 0
93 6.653203 0.3322014 1.942527 0.1418582 36.0639 225.4968 1.686688 0.3566554 1.941711 0.1178243 36.0639 225.4968 1.686688 0.3077475 1.943343 0.1658921 36.0639 225.4968 1.686688 0 0 0 0 0 0 0 0
94 6.717321 0.3288455 1.943898 0.1188594 35.54604 219.3004 359.7429 0.3553289 1.944024 0.09706703 35.54604 219.3004 359.7429 0.3023621 1.943773 0.1406517 35.54604 219.3004 359.7429 0 0 0 0 0 0 0 0
95 6.801009 0.3287279 1.949005 0.100993 33.94041 216.6987 359.164 0.356057 1.94942 0.08027495 33.94041 216.6987 359.164 0.3013988 1.94859 0.121711 33.94041 216.6987 359.164 0 0 0 0 0 0 0 0
96 6.867609 0.3261732 1.949665 0.08602592 32.82374 215.4982 359.0416 0.3539112 1.950148 0.06585999 32.82374 215.4982 359.0416 0.2984353 1.949183 0.1061918 32.82374 215.4982 359.0416 0 0 0 0 0 0 0 0
97 6.945809 0.3247626 1.946256 0.07864738 31.72455 215.9804 0.2495404 0.3525623 1.946129 0.05856129 31.72454 215.9804 0.2495404 0.2969629 1.946383 0.09873346 31.72454 215.9804 0.2495404 0 0 0 0 0 0 0 0
98 6.992521 0.3177592 1.951249 0.07038604 29.5429 212.7612 0.09637389 0.3466161 1.951199 0.05185049 29.5429 212.7612 0.09637389 0.2889022 1.9513 0.08892159 29.5429 212.7612 0.09637389 0 0 0 0 0 0 0 0
99 7.05649 0.3117199 1.953531 0.06905997 29.20219 207.662 358.9706 0.3419524 1.954069 0.05287369 29.20219 207.662 358.9706 0.2814874 1.952993 0.08524624 29.20219 207.662 358.9706 0 0 0 0 0 0 0 0
100 7.10334 0.3059464 1.955671 0.07199972 27.3397 199.642 358.9155 0.3381418 1.956248 0.06019229 27.3397 199.642 358.9155 0.273751 1.955095 0.08380716 27.3397 199.642 358.9155 0 0 0 0 0 0 0 0
101 7.168639 0.3064023 1.962224 0.07687943 27.27284 192.9723 0.4439228 0.3398505 1.961987 0.06929931 27.27284 192.9723 0.4439228 0.2729542 1.96246 0.08445956 27.27284 192.9723 0.4439228 0 0 0 0 0 0 0 0
102 7.220924 0.3084605 1.965251 0.08284453 25.99983 184.3906 0.6529443 0.3426678 1.9649 0.08038989 25.99983 184.3906 0.6529443 0.2742532 1.965603 0.08529917 25.99983 184.3906 0.6529443 0 0 0 0 0 0 0 0
103 7.284892 0.3130727 1.961701 0.09609279 26.40566 177.0066 359.2745 0.3473304 1.96209 0.09769082 26.40566 177.0066 359.2745 0.2788151 1.961312 0.09449476 26.40566 177.0066 359.2745 0 0 0 0 0 0 0 0
104 7.341902 0.3181714 1.965621 0.107702 24.60119 172.7669 358.5707 0.3522298 1.966399 0.1116656 24.60119 172.7669 358.5707 0.284113 1.964843 0.1037384 24.60119 172.7669 358.5707 0 0 0 0 0 0 0 0
105 7.416075 0.3203171 1.965649 0.1175396 23.70109 170.6185 359.2396 0.3541823 1.966066 0.1229493 23.70109 170.6185 359.2396 0.2864518 1.965232 0.1121299 23.70109 170.6185 359.2396 0 0 0 0 0 0 0 0
106 7.464467 0.319749 1.965143 0.1261392 24.1786 170.4267 359.3275 0.3535936 1.96551 0.1316802 24.1786 170.4267 359.3275 0.2859044 1.964776 0.1205983 24.1786 170.4267 359.3275 0 0 0 0 0 0 0 0
107 7.531666 0.3185117 1.970349 0.1315413 20.82287 170.7281 359.3641 0.3523805 1.970704 0.1369334 20.82287 170.7281 359.3641 0.284643 1.969993 0.1261493 20.82287 170.7281 359.3641 0 0 0 0 0 0 0 0
108 7.581539 0.3179019 1.986286 0.138803 12.37112 171.0469 0.05413515 0.3517801 1.986254 0.1441474 12.37112 171.0469 0.05413515 0.2840238 1.986318 0.1334586 12.37112 171.0469 0.05413515 0 0 0 0 0 0 0 0
109 7.64151 0.3154693 1.991538 0.145762 8.663342 172.1788 0.4314722 0.3494411 1.991282 0.1504676 8.663342 172.1788 0.4314722 0.2814975 1.991793 0.1410564 8.663342 172.1788 0.4314722 0 0 0 0 0 0 0 0
110 7.700116 0.3124043 1.990865 0.1498446 9.824409 174.3968 0.1461816 0.3465359 1.990779 0.1532082 9.824409 174.3968 0.1461816 0.2782726 1.990951 0.1464811 9.824409 174.3968 0.1461816 0 0 0 0 0 0 0 0
111 7.761818 0.3095882 1.989484 0.1495335 11.46867 176.6807 359.6712 0.3438294 1.989677 0.1514802 11.46867 176.6807 359.6712 0.2753469 1.989291 0.1475869 11.46867 176.6807 359.6712 0 0 0 0 0 0 0 0
112 7.814183 0.3003874 1.98027 0.1524835 18.29297 181.9959 0.2540635 0.334665 1.980126 0.1513367 18.29297 181.9959 0.2540635 0.2661099 1.980415 0.1536303 18.29297 181.9959 0.2540635 0 0 0 0 0 0 0 0
113 7.885315 0.2930939 1.973876 0.1582281 21.37499 185.318 0.7378066 0.3272555 1.973464 0.1552098 21.37499 185.318 0.7378066 0.2589324 1.974287 0.1612463 21.37499 185.318 0.7378066 0 0 0 0 0 0 0 0
